time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-18T02:35:26.090Z,19.218,-67.851,22,2.79,md,9,324,0.9127,0.24,pr,pr2019049003,2019-02-18T05:57:09.600Z,"91km NE of Punta Cana, Dominican Republic",earthquake,2.17,20.49,0.35,9,reviewed,pr,pr
2019-02-18T02:01:20.490Z,19.2658,-66.6511,35,2.84,md,3,349,0.9248,0.32,pr,pr2019049002,2019-02-18T05:56:57.392Z,"87km N of Carrizales, Puerto Rico",earthquake,8.81,26.3,0.26,3,reviewed,pr,pr
2019-02-18T01:50:23.130Z,19.4066658,-155.2915039,-0.19,1.87,ml,16,90,0.008024,0.14,hv,hv70815681,2019-02-18T01:56:06.380Z,"6km WSW of Volcano, Hawaii",earthquake,0.16,0.24,0.17,4,automatic,hv,hv
2019-02-18T01:32:22.860Z,19.1731,-66.5656,48,2.83,md,13,289,0.6969,0.47,pr,pr2019049001,2019-02-18T05:56:46.728Z,"79km NNE of Arecibo, Puerto Rico",earthquake,2.72,7.7,0.39,12,reviewed,pr,pr
2019-02-18T01:18:12.320Z,1.6778,126.4199,70.32,5,mb,,95,1.306,1.05,us,us2000jje6,2019-02-18T02:10:11.753Z,"140km E of Bitung, Indonesia",earthquake,8,7.1,0.076,55,reviewed,us,us
2019-02-18T01:18:04.520Z,19.4125004,-155.2801666,0.31,2.26,ml,13,95,0.006334,0.26,hv,hv70815641,2019-02-18T01:23:55.080Z,"4km WSW of Volcano, Hawaii",earthquake,0.61,0.34,0.37,17,automatic,hv,hv
2019-02-18T01:18:02.540Z,19.4078331,-155.2858276,-0.64,2.32,ml,22,46,0.009913,0.18,hv,hv70815636,2019-02-18T01:23:47.010Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.18,0.35,17,automatic,hv,hv
2019-02-18T01:14:16.920Z,36.5924988,-121.2113342,4.6,1.92,md,6,172,0.03248,0.01,nc,nc73143246,2019-02-18T02:09:04.675Z,"9km NW of Pinnacles, CA",earthquake,0.49,0.9,0.05,6,automatic,nc,nc
2019-02-18T01:08:10.887Z,61.3962,-150.0985,31.3,1.8,ml,,,,0.5,ak,ak019291z6dc,2019-02-18T01:12:08.576Z,"15km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-18T00:57:10.567Z,38.7396,-119.712,8.3,1.5,ml,13,65.22,0.169,0.1845,nn,nn00678122,2019-02-18T04:29:06.967Z,"16km S of Gardnerville Ranchos, Nevada",earthquake,,2.1,0.29,7,reviewed,nn,nn
2019-02-18T00:42:35.750Z,37.2807,-97.7728,5,2.1,ml,,142,0.127,0.22,us,us2000jje1,2019-02-18T02:54:15.514Z,"16km SW of Conway Springs, Kansas",earthquake,1.2,1.3,0.066,30,reviewed,us,us
2019-02-18T00:30:59.857Z,61.224,-150.0497,43.4,1.9,ml,,,,0.46,ak,ak019291ikap,2019-02-18T00:34:21.597Z,"8km W of Anchorage, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-02-18T00:28:48.850Z,33.3911667,-116.406,11.78,1.07,ml,26,139,0.123,0.21,ci,ci37533538,2019-02-18T00:32:26.090Z,"15km N of Borrego Springs, CA",earthquake,0.39,0.81,0.134,23,automatic,ci,ci
2019-02-18T00:14:39.980Z,19.2351,-66.5486,25,2.47,md,12,302,0.7582,0.24,pr,pr2019049000,2019-02-18T06:06:10.040Z,"80km NNE of Arecibo, Puerto Rico",earthquake,1.17,15.93,0.17,11,reviewed,pr,pr
2019-02-18T00:05:36.330Z,30.8487,137.1228,489.28,4.5,mb,,117,3.214,0.72,us,us2000jje0,2019-02-18T02:50:56.040Z,"Izu Islands, Japan region",earthquake,10.6,8.9,0.061,80,reviewed,us,us
2019-02-18T00:03:56.990Z,30.8652,137.106,494.63,4.5,mb,,72,3.213,0.7,us,us2000jjdk,2019-02-18T03:03:31.040Z,"Izu Islands, Japan region",earthquake,8.9,6.2,0.037,213,reviewed,us,us
2019-02-17T23:56:19.870Z,37.6389999,-118.8143311,2.48,1.28,md,13,166,0.01714,0.03,nc,nc73143231,2019-02-18T00:30:04.114Z,"14km E of Mammoth Lakes, CA",earthquake,0.37,0.37,0.13,10,automatic,nc,nc
2019-02-17T23:48:30.223Z,61.512,-149.9518,30.4,2,ml,,,,0.69,ak,ak01927rrzbi,2019-02-17T23:53:34.018Z,"1km S of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T23:48:21.280Z,19.1786671,-155.4608307,33.58,2.02,md,38,160,0.07816,0.13,hv,hv70815566,2019-02-17T23:51:38.330Z,"3km SE of Pahala, Hawaii",earthquake,0.74,0.94,0.17,17,automatic,hv,hv
2019-02-17T23:18:54.100Z,-59.879,-25.8795,10,5.1,mb,,46,8.046,0.76,us,us2000jjd0,2019-02-18T03:11:52.040Z,"100km SSE of Bristol Island, South Sandwich Islands",earthquake,10.2,1.7,0.063,83,reviewed,us,us
2019-02-17T23:15:27.820Z,33.9748333,-117.206,14.55,1.21,ml,19,111,0.0906,0.23,ci,ci37533514,2019-02-17T23:19:09.178Z,"6km NNE of Moreno Valley, CA",earthquake,0.56,0.89,0.207,31,automatic,ci,ci
2019-02-17T23:10:47.690Z,33.481,-116.7378333,9.65,1.42,ml,48,32,0.06012,0.19,ci,ci37533498,2019-02-17T23:21:56.360Z,"10km SW of Anza, CA",earthquake,0.21,0.44,0.218,28,automatic,ci,ci
2019-02-17T23:08:01.420Z,18.0005,-66.8686,27,2.13,md,3,198,0.241,0.17,pr,pr2019048017,2019-02-18T05:56:24.792Z,"1km SSE of Palomas, Puerto Rico",earthquake,1.91,2.93,0.41,3,reviewed,pr,pr
2019-02-17T23:00:59.549Z,61.4569,-150.0324,35,1.4,ml,,,,0.15,ak,ak01927rhr7m,2019-02-17T23:03:24.539Z,"8km SSW of Big Lake, Alaska",earthquake,,2.4,,,automatic,ak,ak
2019-02-17T22:45:38.250Z,36.4797,-98.7625,5,2.9,ml,,42,0.016,0.68,us,us2000jjc5,2019-02-17T23:01:13.040Z,"34km NW of Fairview, Oklahoma",earthquake,1.1,1.3,,47,reviewed,ok,ok
2019-02-17T22:23:39.780Z,-0.1657,124.4245,70.61,4.6,mb,,55,1.867,1,us,us2000jjbu,2019-02-17T22:38:40.040Z,"78km SE of Molibagu, Indonesia",earthquake,7.6,10.1,0.09,37,reviewed,us,us
2019-02-17T22:12:05.460Z,19.3553333,-155.4954987,7.35,1.97,md,47,45,0.07449,0.25,hv,hv70815441,2019-02-17T22:15:19.810Z,"16km N of Pahala, Hawaii",earthquake,0.48,0.88,0.27,32,automatic,hv,hv
2019-02-17T22:01:37.120Z,36.0063324,-120.5790024,2.46,1.75,md,20,118,0.03423,0.08,nc,nc73143221,2019-02-17T22:33:05.438Z,"18km NW of Parkfield, CA",earthquake,0.35,0.85,0.17,8,automatic,nc,nc
2019-02-17T21:55:10.070Z,33.5006667,-116.7893333,8.06,1.04,ml,35,32,0.01487,0.18,ci,ci37533466,2019-02-17T21:58:59.513Z,"10km NE of Aguanga, CA",earthquake,0.22,0.8,0.142,29,automatic,ci,ci
2019-02-17T21:55:03.810Z,33.3306656,-117.1894989,13.55,1.05,ml,18,109,0.114,0.29,ci,ci37533458,2019-02-17T21:57:07.263Z,"8km SE of Fallbrook, CA",earthquake,1.22,5.59,0.381,12,automatic,ci,ci
2019-02-17T21:43:17.135Z,60.2533,-141.7748,12,1.7,ml,,,,1.09,ak,ak01927qk0i9,2019-02-17T21:48:00.832Z,"41km ENE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-17T21:40:02.030Z,37.3756,20.9947,10,4.4,mb,,129,0.767,1.1,us,us2000jjbi,2019-02-17T22:04:27.040Z,"40km SSE of Lithakia, Greece",earthquake,3.2,1.9,0.1,29,reviewed,us,us
2019-02-17T21:35:28.645Z,62.8277,-150.2604,83.5,2.4,ml,,,,0.54,ak,ak01927qibnl,2019-02-17T21:40:08.710Z,"56km N of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
